alert_id,timestamp,machine_id,operator_id,task_id,alert_type,severity,source,message,recommended_action,resolved
AL000330,2025-01-01 07:53:00,M0014,OP0023,T00518,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000331,2025-01-01 08:11:00,M0014,OP0023,T00518,PROXIMITY,LOW,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,False
AL000596,2025-01-01 11:59:00,M0034,OP0031,T00276,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,False
AL000180,2025-01-01 12:49:00,M0034,OP0031,T00276,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001090,2025-01-01 17:32:24,M0014,OP0023,T00518,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001015,2025-01-02 03:28:42,M0034,OP0031,T00276,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000941,2025-01-02 14:59:18,M0023,OP0010,T00017,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001020,2025-01-02 17:41:24,M0012,OP0017,T00283,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL001127,2025-01-02 17:55:30,M0037,OP0015,T00635,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,True
AL000891,2025-01-05 07:00:00,M0004,OP0045,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000797,2025-01-06 10:00:00,M0022,OP0045,,HIGH_IDLE,MEDIUM,operator_behavior,Idle ratio is significantly above operator baseline.,Recommend IDLE_MANAGEMENT training module.,False
AL000798,2025-01-06 10:00:00,M0022,OP0045,,UNUSUAL_BEHAVIOR,MEDIUM,operator_behavior,Operator behavior pattern deviates from established baseline.,Review recent shift telemetry and consider targeted training.,True
AL001295,2025-01-06 13:00:00,M0038,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 165m).",Consider pausing operations until conditions improve.,True
AL000436,2025-01-07 09:10:00,M0007,OP0007,T00721,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000313,2025-01-07 11:34:00,M0021,OP0052,T00495,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000314,2025-01-07 11:49:00,M0021,OP0052,T00495,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000437,2025-01-07 11:49:00,M0007,OP0007,T00721,PROXIMITY,MEDIUM,safety_events,Unsafe reversing maneuver detected.,Reinforce spotter protocol for reversing operations.,True
AL000315,2025-01-07 11:57:00,M0021,OP0052,T00495,SEATBELT,HIGH,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000316,2025-01-07 12:51:00,M0021,OP0052,T00495,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000317,2025-01-07 13:08:00,M0021,OP0052,T00495,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000318,2025-01-07 13:42:00,M0021,OP0052,T00495,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000369,2025-01-07 14:06:00,M0030,OP0032,T00589,SEATBELT,LOW,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,True
AL000319,2025-01-07 14:44:00,M0021,OP0052,T00495,SEATBELT,MEDIUM,safety_events,Seatbelt not fastened while machine is moving.,Review seatbelt compliance training with operator.,False
AL001114,2025-01-07 15:41:12,M0030,OP0032,T00589,TASK_DELAY,MEDIUM,tasks,Task completion is trending beyond predicted duration.,Reassess task plan; check environmental and machine factors.,False
AL001268,2025-01-07 19:00:00,M0033,,,ENVIRONMENTAL_RISK,MEDIUM,environment,"Hazardous environmental conditions (fog, visibility 134m).",Consider pausing operations until conditions improve.,True
