incident_id,timestamp,machine_id,operator_id,task_id,site_id,incident_type,severity,description,location_zone,injury_occurred,machine_damage,resolved,operator_reported
INC00219,2025-01-01 15:32:00,M0014,OP0023,T00518,ST013,NEAR_MISS_PROXIMITY,LOW,Incident reported: road preparation.,ZONE-C,False,False,False,False
INC00145,2025-01-01 17:14:00,M0014,OP0023,T00518,ST013,MECHANICAL_OBSERVATION,HIGH,hydraulic hose showing early wear signs; flagged for maintenance review.,ZONE-A,False,False,True,False
INC00069,2025-01-02 12:24:00,M0008,OP0030,T00522,ST008,ENVIRONMENTAL_HAZARD,MEDIUM,Hazardous ground/weather condition (cloudy) reported at site during earth excavation.,ZONE-A,False,False,True,False
INC00039,2025-01-02 14:18:00,M0023,OP0010,T00017,ST009,MECHANICAL_OBSERVATION,MEDIUM,bucket linkage showing early wear signs; flagged for maintenance review.,ZONE-C,False,False,True,True
INC00177,2025-01-02 15:15:00,M0001,OP0003,T00422,ST007,NEAR_MISS_PROXIMITY,MEDIUM,Incident reported: earth excavation.,ZONE-C,False,False,False,False
INC00003,2025-01-02 16:30:00,M0014,OP0040,T00710,ST013,ENVIRONMENTAL_HAZARD,LOW,Hazardous ground/weather condition (sunny) reported at site during hauling.,ZONE-B,False,False,True,True
INC00094,2025-01-02 19:51:00,M0037,OP0015,T00635,ST005,MECHANICAL_OBSERVATION,HIGH,tire showing early wear signs; flagged for maintenance review.,ZONE-D,False,False,True,True
INC00126,2025-01-04 11:30:00,M0036,OP0044,T00708,ST006,ENVIRONMENTAL_HAZARD,MEDIUM,Hazardous ground/weather condition (cloudy) reported at site during road preparation.,ZONE-A,False,False,True,False
INC00209,2025-01-04 13:09:00,M0036,OP0044,T00708,ST006,ENVIRONMENTAL_HAZARD,LOW,Hazardous ground/weather condition (cloudy) reported at site during road preparation.,ZONE-B,False,False,True,False
INC00022,2025-01-07 12:51:00,M0030,OP0032,T00589,ST009,COLLISION_MINOR,MEDIUM,Minor contact between Excavator and site obstacle while earth excavation.,ZONE-B,False,False,False,True
INC00199,2025-01-07 14:14:00,M0030,OP0032,T00589,ST009,ENVIRONMENTAL_HAZARD,MEDIUM,Hazardous ground/weather condition (fog) reported at site during earth excavation.,ZONE-D,False,False,True,True
INC00050,2025-01-09 10:57:00,M0002,OP0050,T00170,ST007,NEAR_MISS_PROXIMITY,HIGH,Incident reported: material stockpiling.,ZONE-A,False,False,False,True
INC00166,2025-01-12 12:12:00,M0028,OP0049,T00693,ST012,EQUIPMENT_DAMAGE,LOW,Minor tire damage reported during trenching operation.,ZONE-D,False,False,True,False
INC00189,2025-01-13 14:37:00,M0031,OP0039,T00781,ST002,NEAR_MISS_PROXIMITY,LOW,Incident reported: material stockpiling.,ZONE-A,False,False,True,True
INC00011,2025-01-13 15:09:00,M0021,OP0035,T00224,ST014,EQUIPMENT_DAMAGE,CRITICAL,Minor hydraulic hose damage reported during road preparation operation.,ZONE-A,False,False,True,True
INC00047,2025-01-13 16:14:00,M0031,OP0039,T00781,ST002,ENVIRONMENTAL_HAZARD,HIGH,Hazardous ground/weather condition (cloudy) reported at site during material stockpiling.,ZONE-C,False,False,True,True
INC00139,2025-01-14 13:50:00,M0009,OP0012,T00204,ST004,UNSAFE_OPERATION,HIGH,Operator observed operating Excavator outside standard procedure during material loading.,ZONE-B,False,False,True,True
INC00176,2025-01-15 10:51:00,M0042,OP0024,T00749,ST011,MECHANICAL_OBSERVATION,LOW,boom cylinder showing early wear signs; flagged for maintenance review.,ZONE-A,False,False,False,True
INC00081,2025-01-17 14:31:00,M0003,OP0046,T00683,ST013,EQUIPMENT_DAMAGE,LOW,Minor blade edge damage reported during soil compaction operation.,ZONE-C,False,False,False,False
INC00128,2025-01-18 11:44:00,M0026,OP0043,T00826,ST015,MECHANICAL_OBSERVATION,LOW,track showing early wear signs; flagged for maintenance review.,ZONE-B,False,False,True,False
INC00060,2025-01-19 07:46:00,M0035,OP0021,T00181,ST013,UNSAFE_OPERATION,LOW,Operator observed operating Motor Grader outside standard procedure during grading.,ZONE-D,False,True,True,True
INC00172,2025-01-19 08:57:00,M0035,OP0021,T00181,ST013,MECHANICAL_OBSERVATION,LOW,boom cylinder showing early wear signs; flagged for maintenance review.,ZONE-B,False,False,True,False
INC00014,2025-01-19 09:15:00,M0018,OP0051,T00798,ST014,UNSAFE_OPERATION,LOW,Operator observed operating Excavator outside standard procedure during earth excavation.,ZONE-C,False,False,True,True
INC00125,2025-01-20 18:11:00,M0030,OP0007,T00390,ST009,EQUIPMENT_DAMAGE,LOW,Minor hydraulic hose damage reported during trenching operation.,ZONE-A,False,True,False,False
INC00164,2025-01-21 13:57:00,M0022,OP0004,T00836,ST002,NEAR_MISS_PROXIMITY,LOW,Incident reported: grading.,ZONE-C,False,False,True,False
INC00124,2025-01-22 13:11:00,M0013,OP0048,T00232,ST007,NEAR_MISS_PROXIMITY,MEDIUM,Incident reported: material stockpiling.,ZONE-A,False,True,True,True
INC00175,2025-01-23 14:18:00,M0021,OP0025,T00292,ST014,NEAR_MISS_PROXIMITY,HIGH,Incident reported: road preparation.,ZONE-A,False,False,True,True
INC00079,2025-01-25 12:18:00,M0003,OP0034,T00682,ST013,EQUIPMENT_DAMAGE,MEDIUM,Minor blade edge damage reported during trenching operation.,ZONE-B,False,True,True,True
INC00182,2025-01-25 13:29:00,M0029,OP0039,T00704,ST010,COLLISION_MINOR,MEDIUM,Minor contact between Dozer and site obstacle while material stockpiling.,ZONE-C,False,False,True,False
INC00200,2025-01-28 23:52:00,M0014,OP0013,T00085,ST013,MECHANICAL_OBSERVATION,LOW,hydraulic hose showing early wear signs; flagged for maintenance review.,ZONE-A,False,False,True,False
INC00206,2025-01-30 15:42:00,M0008,OP0016,T00014,ST008,EQUIPMENT_DAMAGE,HIGH,Minor bucket linkage damage reported during trenching operation.,ZONE-D,False,False,True,False
INC00093,2025-01-31 21:20:00,M0022,OP0052,T00384,ST002,UNSAFE_OPERATION,MEDIUM,Operator observed operating Articulated Hauler outside standard procedure during hauling.,ZONE-A,False,False,True,True
INC00045,2025-02-01 13:47:00,M0038,OP0050,T00470,ST004,MECHANICAL_OBSERVATION,HIGH,hydraulic hose showing early wear signs; flagged for maintenance review.,ZONE-C,False,False,True,True
INC00080,2025-02-03 15:29:00,M0022,OP0005,T00564,ST002,NEAR_MISS_PROXIMITY,LOW,Incident reported: hauling.,ZONE-D,False,False,False,False
INC00143,2025-02-03 16:10:00,M0030,OP0020,T00236,ST009,MECHANICAL_OBSERVATION,CRITICAL,bucket linkage showing early wear signs; flagged for maintenance review.,ZONE-A,False,False,False,False
INC00038,2025-02-04 14:39:00,M0019,OP0005,T00423,ST002,MECHANICAL_OBSERVATION,HIGH,boom cylinder showing early wear signs; flagged for maintenance review.,ZONE-D,False,True,True,True
